variable,correlation,p_value
GDP per capita,0.6313332200250632,7.863983647967528e-168
Social support,0.7439017940920231,7.735596046544712e-265
Healthy life expectancy,0.6617064497465488,1.0093092900942716e-189
Freedom to make life choices,0.5912966718836807,2.5761844034485126e-142
Generosity,0.10550209272112245,4.188362242822431e-05
Perceptions of corruption,0.0716832643248316,0.005446038237003784
